Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
Paulino Neves (MA),5027,0.561,5506,0.481,3774,0.511,5291,0.72,,,,,,,,,,,,
Geminiano (PI),5027,0.561,5191,0.524,4887,0.446,4602,0.755,,,,,,,,,,,,
Bonito (PE),5027,0.561,4476,0.559,5192,0.42,4625,0.754,,,,,,,,,,,,
Itaporanga D'Ajuda (SE),5027,0.561,4720,0.548,5238,0.414,3775,0.779,,,,,,,,,,,,
América Dourada (BA),5027,0.561,5380,0.506,4614,0.464,4732,0.751,,,,,,,,,,,,
Turiaçu (MA),5027,0.561,5467,0.493,4672,0.461,3897,0.776,,,,,,,,,,,,
Anori (AM),5027,0.561,4903,0.54,5053,0.433,4552,0.757,,,,,,,,,,,,
Joselândia (MA),5027,0.561,5037,0.533,4902,0.445,4916,0.743,,,,,,,,,,,,
Cândido Mendes (MA),5027,0.561,5235,0.52,4742,0.456,4876,0.745,,,,,,,,,,,,
Socorro do Piauí (PI),5027,0.561,5325,0.513,4599,0.465,4989,0.739,,,,,,,,,,,,
Bonito (BA),5027,0.561,4628,0.552,4572,0.467,5535,0.685,,,,,,,,,,,,
Antônio Cardoso (BA),5027,0.561,4804,0.544,5173,0.422,4204,0.768,,,,,,,,,,,,
Jatobá (MA),5027,0.561,5215,0.522,4306,0.481,5462,0.702,,,,,,,,,,,,
Tutóia (MA),5027,0.561,4828,0.543,4821,0.451,5268,0.722,,,,,,,,,,,,
Atalaia (AL),5027,0.561,4779,0.545,5071,0.431,4697,0.752,,,,,,,,,,,,
Caatiba (BA),5027,0.561,3998,0.579,5287,0.406,4697,0.752,,,,,,,,,,,,
João Costa (PI),5027,0.561,5352,0.51,4693,0.46,4697,0.752,,,,,,,,,,,,
Fagundes (PB),5049,0.56,4828,0.543,5062,0.432,4770,0.749,,,,,,,,,,,,
Campo Grande do Piauí (PI),5049,0.56,4779,0.545,4887,0.446,5284,0.721,,,,,,,,,,,,
Conde (BA),5049,0.56,4649,0.551,4821,0.451,5439,0.705,,,,,,,,,,,,
Pilões (PB),5049,0.56,4476,0.559,5269,0.409,4245,0.767,,,,,,,,,,,,
Una (BA),5049,0.56,3894,0.584,5145,0.424,5398,0.71,,,,,,,,,,,,
Arraial (PI),5049,0.56,5310,0.514,4852,0.449,4430,0.761,,,,,,,,,,,,
Goianésia do Pará (PA),5049,0.56,3876,0.585,5301,0.404,4916,0.743,,,,,,,,,,,,
Boqueirão do Piauí (PI),5049,0.56,4565,0.555,5031,0.434,5160,0.729,,,,,,,,,,,,
Japoatã (SE),5049,0.56,4649,0.551,4758,0.455,5476,0.7,,,,,,,,,,,,
Ourolândia (BA),5049,0.56,4740,0.547,4711,0.459,5468,0.701,,,,,,,,,,,,
Sericita (MG),5049,0.56,3590,0.602,5455,0.375,3897,0.776,,,,,,,,,,,,
Planalto (BA),5049,0.56,4529,0.557,5104,0.428,5008,0.738,,,,,,,,,,,,
Nordestina (BA),5049,0.56,5377,0.507,4572,0.467,4916,0.743,,,,,,,,,,,,
São Gonçalo do Gurguéia (PI),5049,0.56,4161,0.572,4973,0.438,5468,0.701,,,,,,,,,,,,
Borba (AM),5049,0.56,5062,0.532,5131,0.425,3897,0.776,,,,,,,,,,,,
Eldorado dos Carajás (PA),5049,0.56,4161,0.572,5294,0.405,4552,0.757,,,,,,,,,,,,
Amaturá (AM),5049,0.56,5434,0.499,4758,0.455,4028,0.773,,,,,,,,,,,,
Betânia (PE),5066,0.559,5037,0.533,4948,0.441,4936,0.742,,,,,,,,,,,,
Pajeú do Piauí (PI),5066,0.559,4451,0.56,5111,0.427,5105,0.732,,,,,,,,,,,,
Irituia (PA),5066,0.559,4987,0.536,5111,0.427,4366,0.763,,,,,,,,,,,,
Olindina (BA),5066,0.559,5021,0.534,5308,0.403,2661,0.81,,,,,,,,,,,,
Granja (CE),5066,0.559,5457,0.495,4793,0.453,3831,0.778,,,,,,,,,,,,
São João da Varjota (PI),5066,0.559,4987,0.536,4693,0.46,5415,0.708,,,,,,,,,,,,
Fátima (BA),5066,0.559,4583,0.554,4711,0.459,5533,0.686,,,,,,,,,,,,
Quebrangulo (AL),5066,0.559,4987,0.536,5180,0.421,3948,0.775,,,,,,,,,,,,
Saloá (PE),5066,0.559,4476,0.559,5180,0.421,4893,0.744,,,,,,,,,,,,
São João da Canabrava (PI),5066,0.559,4927,0.539,4887,0.446,5207,0.726,,,,,,,,,,,,
Gentio do Ouro (BA),5066,0.559,5206,0.523,4839,0.45,4916,0.743,,,,,,,,,,,,
Presidente Tancredo Neves (BA),5066,0.559,4288,0.566,5145,0.424,5193,0.727,,,,,,,,,,,,
Campestre (AL),5066,0.559,4670,0.55,5011,0.435,5160,0.729,,,,,,,,,,,,
Arataca (BA),5066,0.559,4529,0.557,5246,0.413,4509,0.758,,,,,,,,,,,,
Pedra Grande (RN),5066,0.559,5154,0.526,5083,0.43,4028,0.773,,,,,,,,,,,,
Borborema (PB),5081,0.558,4804,0.544,5123,0.426,4758,0.75,,,,,,,,,,,,
Bom Jesus das Selvas (MA),5081,0.558,4963,0.537,5071,0.431,4732,0.751,,,,,,,,,,,,
Palestina (AL),5081,0.558,5389,0.505,4572,0.467,5063,0.735,,,,,,,,,,,,
Espírito Santo (RN),5081,0.558,4698,0.549,5164,0.423,4794,0.748,,,,,,,,,,,,
Pedra Preta (RN),5081,0.558,5096,0.53,5011,0.435,4697,0.752,,,,,,,,,,,,
Bernardino Batista (PB),5081,0.558,5154,0.526,4646,0.462,5339,0.716,,,,,,,,,,,,
Rio Vermelho (MG),5081,0.558,4288,0.566,5395,0.389,3594,0.787,,,,,,,,,,,,
Santo Antônio do Itambé (MG),5081,0.558,4963,0.537,5273,0.408,3362,0.794,,,,,,,,,,,,
Jacaraú (PB),5081,0.558,4583,0.554,5011,0.435,5291,0.72,,,,,,,,,,,,
Morpará (BA),5081,0.558,4987,0.536,4909,0.444,5105,0.732,,,,,,,,,,,,
Caraí (MG),5081,0.558,4698,0.549,5294,0.405,3726,0.781,,,,,,,,,,,,
Alto Alegre do Pindaré (MA),5081,0.558,5539,0.465,4272,0.483,3987,0.774,,,,,,,,,,,,
São Sebastião da Boa Vista (PA),5081,0.558,5235,0.52,4964,0.439,4452,0.76,,,,,,,,,,,,
Nova Olinda do Norte (AM),5081,0.558,4876,0.541,5256,0.412,3751,0.78,,,,,,,,,,,,
Ibirapitanga (BA),5081,0.558,4425,0.561,5229,0.415,4794,0.748,,,,,,,,,,,,
Guaratinga (BA),5081,0.558,4476,0.559,5287,0.406,4272,0.766,,,,,,,,,,,,
Baraúna (PB),5081,0.558,5154,0.526,4711,0.459,5321,0.718,,,,,,,,,,,,
Presidente Sarney (MA),5098,0.557,5487,0.486,4487,0.472,4697,0.752,,,,,,,,,,,,
Santa Cruz do Arari (PA),5098,0.557,5499,0.483,4672,0.461,3948,0.775,,,,,,,,,,,,
Beneditinos (PI),5098,0.557,4425,0.561,5367,0.394,3751,0.78,,,,,,,,,,,,
Imaculada (PB),5098,0.557,5191,0.524,4672,0.461,5347,0.715,,,,,,,,,,,,
Careiro (AM),5098,0.557,5297,0.515,5071,0.431,3775,0.779,,,,,,,,,,,,
Palmeira do Piauí (PI),5098,0.557,4201,0.57,5071,0.431,5444,0.704,,,,,,,,,,,,
Serra Azul de Minas (MG),5098,0.557,4963,0.537,5342,0.398,2696,0.809,,,,,,,,,,,,
Floresta Azul (BA),5098,0.557,4720,0.548,5071,0.431,5128,0.731,,,,,,,,,,,,
Cansanção (BA),5098,0.557,5096,0.53,4973,0.438,4876,0.745,,,,,,,,,,,,
São Félix de Balsas (MA),5098,0.557,5271,0.517,5083,0.43,3831,0.778,,,,,,,,,,,,
Campo Alegre de Lourdes (BA),5098,0.557,5284,0.516,5083,0.43,3831,0.778,,,,,,,,,,,,
Barra de Santo Antônio (AL),5098,0.557,4628,0.552,5104,0.428,5105,0.732,,,,,,,,,,,,
Lago Verde (MA),5098,0.557,5365,0.508,4588,0.466,5128,0.731,,,,,,,,,,,,
Tobias Barreto (SE),5098,0.557,3492,0.609,5301,0.404,5462,0.702,,,,,,,,,,,,
Montanhas (RN),5098,0.557,4609,0.553,4874,0.447,5476,0.7,,,,,,,,,,,,
Barreiras do Piauí (PI),5098,0.557,4451,0.56,5164,0.423,5145,0.73,,,,,,,,,,,,
São José dos Basílios (MA),5098,0.557,5423,0.501,4332,0.48,5306,0.719,,,,,,,,,,,,
Barra (BA),5098,0.557,5401,0.503,4733,0.457,4758,0.75,,,,,,,,,,,,
São Miguel do Tapuio (PI),5116,0.556,5365,0.508,5031,0.434,3751,0.78,,,,,,,,,,,,
Santa Luzia (BA),5116,0.556,4351,0.564,5359,0.396,4204,0.768,,,,,,,,,,,,
São José dos Cordeiros (PB),5116,0.556,4855,0.542,5281,0.407,3831,0.778,,,,,,,,,,,,
Jaguaripe (BA),5116,0.556,4628,0.552,5281,0.407,4366,0.763,,,,,,,,,,,,
Itabaianinha (SE),5116,0.556,4565,0.555,5281,0.407,4430,0.761,,,,,,,,,,,,
Flores (PE),5116,0.556,4804,0.544,5164,0.423,4876,0.745,,,,,,,,,,,,
Gurinhém (PB),5116,0.556,4804,0.544,5011,0.435,5175,0.728,,,,,,,,,,,,
Jequiá da Praia (AL),5116,0.556,5271,0.517,5083,0.43,4064,0.772,,,,,,,,,,,,
Buriticupu (MA),5116,0.556,5037,0.533,4758,0.455,5415,0.708,,,,,,,,,,,,
Palmeirândia (MA),5116,0.556,5481,0.488,4116,0.492,5347,0.715,,,,,,,,,,,,
Formosa da Serra Negra (MA),5116,0.556,5492,0.485,4711,0.459,3987,0.774,,,,,,,,,,,,
Ninheira (MG),5116,0.556,5172,0.525,5206,0.418,3670,0.784,,,,,,,,,,,,
Curralinhos (PI),5128,0.555,5337,0.512,4973,0.438,4400,0.762,,,,,,,,,,,,
Novo Oriente de Minas (MG),5128,0.555,4243,0.568,5325,0.4,4625,0.754,,,,,,,,,,,,
Nova Soure (BA),5128,0.555,4720,0.548,4964,0.439,5377,0.712,,,,,,,,,,,,
Santa Quitéria do Maranhão (MA),5128,0.555,5475,0.49,4724,0.458,4452,0.76,,,,,,,,,,,,
Jurema (PI),5128,0.555,5347,0.511,5011,0.435,4245,0.767,,,,,,,,,,,,
Amarante do Maranhão (MA),5128,0.555,4876,0.541,4948,0.441,5339,0.716,,,,,,,,,,,,
Várzea Nova (BA),5128,0.555,4828,0.543,4693,0.46,5535,0.685,,,,,,,,,,,,
Tufilândia (MA),5128,0.555,5415,0.502,4306,0.481,5405,0.709,,,,,,,,,,,,
Pacatuba (SE),5128,0.555,5310,0.514,4774,0.454,5128,0.731,,,,,,,,,,,,
Caraíbas (BA),5128,0.555,4201,0.57,5294,0.405,4989,0.739,,,,,,,,,,,,
São Bento do Norte (RN),5128,0.555,4876,0.541,5229,0.415,4452,0.76,,,,,,,,,,,,
Venha-Ver (RN),5128,0.555,5423,0.501,4463,0.473,5268,0.722,,,,,,,,,,,,
Cocal de Telha (PI),5128,0.555,4670,0.55,5338,0.399,3751,0.78,,,,,,,,,,,,
Andaraí (BA),5128,0.555,4903,0.54,5229,0.415,4329,0.764,,,,,,,,,,,,
Seridó (PB),5128,0.555,5127,0.528,4793,0.453,5359,0.714,,,,,,,,,,,,
Riachão do Poço (PB),5128,0.555,4963,0.537,5123,0.426,4794,0.748,,,,,,,,,,,,
Tanque D'Arca (AL),5128,0.555,5075,0.531,5083,0.43,4794,0.748,,,,,,,,,,,,
Teolândia (BA),5128,0.555,4876,0.541,5206,0.418,4579,0.756,,,,,,,,,,,,
Avelino Lopes (PI),5146,0.554,5062,0.532,4936,0.442,5268,0.722,,,,,,,,,,,,
Bela Vista do Maranhão (MA),5146,0.554,5297,0.515,4839,0.45,5063,0.735,,,,,,,,,,,,
Tacaimbó (PE),5146,0.554,4987,0.536,5164,0.423,4794,0.748,,,,,,,,,,,,
Joaquim Nabuco (PE),5146,0.554,4425,0.561,4852,0.449,5561,0.676,,,,,,,,,,,,
São Luis do Piauí (PI),5146,0.554,5235,0.52,5053,0.433,4552,0.757,,,,,,,,,,,,
Oliveira dos Brejinhos (BA),5146,0.554,5037,0.533,5111,0.427,4826,0.747,,,,,,,,,,,,
Novo Triunfo (BA),5146,0.554,5325,0.513,5083,0.43,4168,0.769,,,,,,,,,,,,
Alto Alegre do Maranhão (MA),5146,0.554,5284,0.516,4909,0.444,4893,0.744,,,,,,,,,,,,
Nova Santa Rita (PI),5146,0.554,5235,0.52,5131,0.425,4131,0.77,,,,,,,,,,,,
Novo Aripuanã (AM),5146,0.554,5062,0.532,5180,0.421,4484,0.759,,,,,,,,,,,,
Penalva (MA),5146,0.554,5251,0.519,4487,0.472,5509,0.693,,,,,,,,,,,,
Riachão do Bacamarte (PB),5157,0.553,4425,0.561,5215,0.417,5284,0.721,,,,,,,,,,,,
Cajapió (MA),5157,0.553,5537,0.466,3883,0.505,5291,0.72,,,,,,,,,,,,
Capitão Gervásio Oliveira (PI),5157,0.553,5401,0.503,4614,0.464,5227,0.725,,,,,,,,,,,,
Francisco Macedo (PI),5157,0.553,4268,0.567,5131,0.425,5468,0.701,,,,,,,,,,,,
Lagoa de Pedras (RN),5157,0.553,5110,0.529,4999,0.436,5081,0.734,,,,,,,,,,,,
Monte Alegre de Sergipe (SE),5157,0.553,4927,0.539,5071,0.431,5207,0.726,,,,,,,,,,,,
Imbé de Minas (MG),5157,0.553,4161,0.572,5353,0.397,4893,0.744,,,,,,,,,,,,
Água Preta (PE),5157,0.553,5310,0.514,5062,0.432,4430,0.761,,,,,,,,,,,,
Jiquiriçá (BA),5157,0.553,4504,0.558,5353,0.397,4366,0.763,,,,,,,,,,,,
Cristinápolis (SE),5157,0.553,4903,0.54,5238,0.414,4602,0.755,,,,,,,,,,,,
Itaquara (BA),5157,0.553,4927,0.539,5260,0.411,4366,0.763,,,,,,,,,,,,
Várzea Branca (PI),5157,0.553,5259,0.518,4956,0.44,4916,0.743,,,,,,,,,,,,
São José do Piauí (PI),5169,0.552,4226,0.569,5164,0.423,5476,0.7,,,,,,,,,,,,
Apuarema (BA),5169,0.552,4565,0.555,5246,0.413,5063,0.735,,,,,,,,,,,,
Junco do Maranhão (MA),5169,0.552,4670,0.55,4920,0.443,5520,0.69,,,,,,,,,,,,
Cardeal da Silva (BA),5169,0.552,5206,0.523,4988,0.437,5063,0.735,,,,,,,,,,,,
Bujaru (PA),5169,0.552,5457,0.495,4988,0.437,3775,0.779,,,,,,,,,,,,
Placas (PA),5169,0.552,4876,0.541,5301,0.404,4131,0.77,,,,,,,,,,,,
Iguaí (BA),5169,0.552,4476,0.559,5422,0.382,3629,0.786,,,,,,,,,,,,
Quipapá (PE),5169,0.552,5096,0.53,5111,0.427,4916,0.743,,,,,,,,,,,,
Caracol (PI),5169,0.552,5037,0.533,5269,0.409,4100,0.771,,,,,,,,,,,,
Ibimirim (PE),5169,0.552,5037,0.533,4887,0.446,5431,0.706,,,,,,,,,,,,
Xexéu (PE),5169,0.552,4698,0.549,4999,0.436,5456,0.703,,,,,,,,,,,,
Cruz do Espírito Santo (PB),5169,0.552,5075,0.531,5273,0.408,3831,0.778,,,,,,,,,,,,
Jaramataia (AL),5169,0.552,5062,0.532,4821,0.451,5468,0.701,,,,,,,,,,,,
Lagoa da Canoa (AL),5169,0.552,4876,0.541,4920,0.443,5456,0.703,,,,,,,,,,,,
Itaipé (MG),5169,0.552,4201,0.57,5398,0.388,4484,0.759,,,,,,,,,,,,
São José do Jacuípe (BA),5169,0.552,4565,0.555,5215,0.417,5207,0.726,,,,,,,,,,,,
São João do Tigre (PB),5169,0.552,5206,0.523,5145,0.424,4509,0.758,,,,,,,,,,,,
Tomar do Geru (SE),5186,0.551,5235,0.52,5062,0.432,4860,0.746,,,,,,,,,,,,
Belém do Piauí (PI),5186,0.551,4963,0.537,4862,0.448,5502,0.696,,,,,,,,,,,,
Porto Real do Colégio (AL),5186,0.551,5325,0.513,5071,0.431,4509,0.758,,,,,,,,,,,,
Tacima (PB),5186,0.551,5325,0.513,4839,0.45,5207,0.726,,,,,,,,,,,,
Boa Vista do Tupim (BA),5186,0.551,5310,0.514,4874,0.447,5160,0.729,,,,,,,,,,,,
Lagoa dos Gatos (PE),5186,0.551,4565,0.555,5222,0.416,5227,0.725,,,,,,,,,,,,
Barra do Choça (BA),5186,0.551,4376,0.563,5405,0.386,4131,0.77,,,,,,,,,,,,
Manoel Urbano (AC),5186,0.551,3853,0.586,5462,0.373,4245,0.767,,,,,,,,,,,,
Domingos Mourão (PI),5194,0.55,4740,0.547,5308,0.403,4602,0.755,,,,,,,,,,,,
Cumaru do Norte (PA),5194,0.55,3095,0.635,5537,0.33,3329,0.795,,,,,,,,,,,,
Santa Luzia (MA),5194,0.55,5172,0.525,4808,0.452,5476,0.7,,,,,,,,,,,,
Cajazeirinhas (PB),5194,0.55,5226,0.521,5246,0.413,4028,0.773,,,,,,,,,,,,
Lagoa Alegre (PI),5194,0.55,4945,0.538,5131,0.425,5175,0.728,,,,,,,,,,,,
Jucati (PE),5194,0.55,4876,0.541,4821,0.451,5549,0.681,,,,,,,,,,,,
São João do Araguaia (PA),5194,0.55,5096,0.53,5145,0.424,4958,0.741,,,,,,,,,,,,
Ipecaetá (BA),5194,0.55,5380,0.506,5145,0.424,3897,0.776,,,,,,,,,,,,
Água Fria (BA),5194,0.55,5110,0.529,5173,0.422,4826,0.747,,,,,,,,,,,,
Ipubi (PE),5194,0.55,4876,0.541,5053,0.433,5377,0.712,,,,,,,,,,,,
Morro do Chapéu do Piauí (PI),5194,0.55,4987,0.536,5206,0.418,4936,0.742,,,,,,,,,,,,
Ielmo Marinho (RN),5194,0.55,5226,0.521,5206,0.418,4272,0.766,,,,,,,,,,,,
Jandaíra (BA),5194,0.55,5347,0.511,5011,0.435,4770,0.749,,,,,,,,,,,,
Matões (MA),5194,0.55,5251,0.519,5031,0.434,4989,0.739,,,,,,,,,,,,
Maranhãozinho (MA),5194,0.55,5446,0.497,4599,0.465,5306,0.719,,,,,,,,,,,,
Carauari (AM),5209,0.549,5021,0.534,5222,0.416,4876,0.745,,,,,,,,,,,,
Saúde (BA),5209,0.549,4757,0.546,4936,0.442,5535,0.685,,,,,,,,,,,,
Ipirá (BA),5209,0.549,4243,0.568,5392,0.39,4794,0.748,,,,,,,,,,,,
São Sebastião (AL),5209,0.549,4963,0.537,5062,0.432,5359,0.714,,,,,,,,,,,,
São Vicente Ferrer (PE),5209,0.549,4504,0.558,5238,0.414,5347,0.715,,,,,,,,,,,,
Parazinho (RN),5209,0.549,4828,0.543,5145,0.424,5306,0.719,,,,,,,,,,,,
Araçagi (PB),5209,0.549,4903,0.54,5256,0.412,4876,0.745,,,,,,,,,,,,
Palmeirina (PE),5209,0.549,4583,0.554,4973,0.438,5549,0.681,,,,,,,,,,,,
Paulo Ramos (MA),5209,0.549,4757,0.546,4874,0.447,5556,0.677,,,,,,,,,,,,
Dom Inocêncio (PI),5209,0.549,5442,0.498,4964,0.439,4579,0.756,,,,,,,,,,,,
Santa Cruz (PE),5209,0.549,5215,0.522,4973,0.438,5268,0.722,,,,,,,,,,,,
Água Branca (AL),5209,0.549,5140,0.527,5062,0.432,5175,0.728,,,,,,,,,,,,
Porto (PI),5209,0.549,4963,0.537,5287,0.406,4509,0.758,,,,,,,,,,,,
Altamira do Maranhão (MA),5209,0.549,5487,0.486,4463,0.473,5306,0.719,,,,,,,,,,,,
Muquém de São Francisco (BA),5209,0.549,5481,0.488,4902,0.445,4430,0.761,,,,,,,,,,,,
Capoeiras (PE),5209,0.549,5110,0.529,5197,0.419,4860,0.746,,,,,,,,,,,,
Santa Maria do Cambucá (PE),5225,0.548,4180,0.571,5371,0.393,5063,0.735,,,,,,,,,,,,
São Miguel de Taipu (PB),5225,0.548,5284,0.516,4920,0.443,5284,0.721,,,,,,,,,,,,
Algodão de Jandaíra (PB),5225,0.548,5062,0.532,5246,0.413,4770,0.749,,,,,,,,,,,,
Capitão Poço (PA),5225,0.548,4137,0.573,5411,0.385,4826,0.747,,,,,,,,,,,,
Aporá (BA),5225,0.548,5284,0.516,5131,0.425,4732,0.751,,,,,,,,,,,,
São Domingos (PB),5225,0.548,4565,0.555,5367,0.394,4625,0.754,,,,,,,,,,,,
Aroeiras (PB),5225,0.548,4963,0.537,5260,0.411,4876,0.745,,,,,,,,,,,,
Arara (PB),5225,0.548,4226,0.569,5281,0.407,5377,0.712,,,,,,,,,,,,
Rurópolis (PA),5225,0.548,4720,0.548,5375,0.392,4329,0.764,,,,,,,,,,,,
Juripiranga (PB),5225,0.548,4804,0.544,4862,0.448,5556,0.677,,,,,,,,,,,,
Morros (MA),5225,0.548,5492,0.485,4332,0.48,5431,0.706,,,,,,,,,,,,
Pariconha (AL),5225,0.548,5154,0.526,5222,0.416,4625,0.754,,,,,,,,,,,,
Anapu (PA),5225,0.548,4376,0.563,5467,0.371,3570,0.788,,,,,,,,,,,,
Buriti (MA),5225,0.548,5513,0.479,4332,0.48,5359,0.714,,,,,,,,,,,,
Tonantins (AM),5225,0.548,5365,0.508,5222,0.416,3775,0.779,,,,,,,,,,,,
Fartura do Piauí (PI),5225,0.548,5380,0.506,4948,0.441,5008,0.738,,,,,,,,,,,,
Gilbués (PI),5225,0.548,4116,0.574,5433,0.38,4661,0.753,,,,,,,,,,,,
Mari (PB),5225,0.548,4609,0.553,5096,0.429,5513,0.692,,,,,,,,,,,,
Jacuípe (AL),5225,0.548,5062,0.532,5265,0.41,4602,0.755,,,,,,,,,,,,
Jeremoabo (BA),5244,0.547,4425,0.561,5145,0.424,5524,0.689,,,,,,,,,,,,
Flores do Piauí (PI),5244,0.547,5172,0.525,4920,0.443,5444,0.704,,,,,,,,,,,,
Ouro Branco (AL),5244,0.547,4945,0.538,5031,0.434,5476,0.7,,,,,,,,,,,,
Brejão (PE),5244,0.547,4903,0.54,5215,0.417,5227,0.725,,,,,,,,,,,,
Igarapé-Miri (PA),5244,0.547,5310,0.514,5246,0.413,4131,0.77,,,,,,,,,,,,
Nilo Peçanha (BA),5244,0.547,5075,0.531,5301,0.404,4400,0.762,,,,,,,,,,,,
Serraria (PB),5244,0.547,4987,0.536,5375,0.392,3775,0.779,,,,,,,,,,,,
Muaná (PA),5244,0.547,4903,0.54,5384,0.391,3948,0.775,,,,,,,,,,,,
Moju (PA),5244,0.547,4023,0.578,5455,0.375,4552,0.757,,,,,,,,,,,,
Santa Brígida (BA),5253,0.546,5037,0.533,5071,0.431,5398,0.71,,,,,,,,,,,,
Lajedinho (BA),5253,0.546,5215,0.522,5246,0.413,4661,0.753,,,,,,,,,,,,
Bonito (PA),5253,0.546,5075,0.531,5342,0.398,4131,0.77,,,,,,,,,,,,
Doutor Ulysses (PR),5253,0.546,4201,0.57,5490,0.362,3475,0.791,,,,,,,,,,,,
Adustina (BA),5253,0.546,5154,0.526,5062,0.432,5321,0.718,,,,,,,,,,,,
São José da Vitória (BA),5253,0.546,4609,0.553,5096,0.429,5533,0.686,,,,,,,,,,,,
Santa Luzia do Pará (PA),5253,0.546,5096,0.53,5145,0.424,5241,0.724,,,,,,,,,,,,
Benedito Leite (MA),5253,0.546,5075,0.531,5123,0.426,5306,0.719,,,,,,,,,,,,
Icatu (MA),5253,0.546,5521,0.475,4487,0.472,5193,0.727,,,,,,,,,,,,
Coronel José Dias (PI),5253,0.546,5259,0.518,5053,0.433,5227,0.725,,,,,,,,,,,,
Cajueiro da Praia (PI),5253,0.546,4649,0.551,5325,0.4,4989,0.739,,,,,,,,,,,,
Cachoeira do Arari (PA),5253,0.546,5172,0.525,5342,0.398,3831,0.778,,,,,,,,,,,,
Monção (MA),5253,0.546,5434,0.499,4614,0.464,5444,0.704,,,,,,,,,,,,
Bom Jesus da Serra (BA),5253,0.546,5008,0.535,5281,0.407,4770,0.749,,,,,,,,,,,,
Caém (BA),5253,0.546,5008,0.535,5031,0.434,5468,0.701,,,,,,,,,,,,
Santa Luzia do Itanhy (SE),5268,0.545,5325,0.513,5238,0.414,4329,0.764,,,,,,,,,,,,
Batalha (PI),5268,0.545,4903,0.54,5342,0.398,4602,0.755,,,,,,,,,,,,
Boa Vista do Gurupi (MA),5268,0.545,5297,0.515,4672,0.461,5549,0.681,,,,,,,,,,,,
Terezinha (PE),5268,0.545,4987,0.536,5131,0.425,5388,0.711,,,,,,,,,,,,
Mirador (MA),5268,0.545,5492,0.485,4821,0.451,4978,0.74,,,,,,,,,,,,
Nova Canaã (BA),5268,0.545,4583,0.554,5469,0.37,3540,0.789,,,,,,,,,,,,
Lagoa Real (BA),5268,0.545,5008,0.535,5362,0.395,4329,0.764,,,,,,,,,,,,
Luzilândia (PI),5268,0.545,4670,0.55,5192,0.42,5476,0.7,,,,,,,,,,,,
Dona Inês (PB),5268,0.545,5191,0.524,4874,0.447,5520,0.69,,,,,,,,,,,,
Santa Filomena (PI),5277,0.544,5096,0.53,5411,0.385,3540,0.789,,,,,,,,,,,,
Governador Luiz Rocha (MA),5277,0.544,5365,0.508,4711,0.459,5513,0.692,,,,,,,,,,,,
Wenceslau Guimarães (BA),5277,0.544,4504,0.558,5421,0.383,4697,0.752,,,,,,,,,,,,
Campinas do Piauí (PI),5277,0.544,5191,0.524,5353,0.397,3897,0.776,,,,,,,,,,,,
Santa Maria das Barreiras (PA),5277,0.544,4565,0.555,5469,0.37,3690,0.783,,,,,,,,,,,,
Itiúba (BA),5277,0.544,5226,0.521,5342,0.398,3948,0.775,,,,,,,,,,,,
Fruta de Leite (MG),5277,0.544,4720,0.548,5469,0.37,3428,0.792,,,,,,,,,,,,
Quijingue (BA),5277,0.544,4927,0.539,5031,0.434,5524,0.689,,,,,,,,,,,,
Campos Lindos (TO),5277,0.544,4023,0.578,5446,0.377,5008,0.738,,,,,,,,,,,,
Encruzilhada (BA),5277,0.544,5037,0.533,5325,0.4,4625,0.754,,,,,,,,,,,,
Wall Ferraz (PI),5277,0.544,5325,0.513,4920,0.443,5415,0.708,,,,,,,,,,,,
Frei Lagonegro (MG),5288,0.543,5251,0.519,5256,0.412,4770,0.749,,,,,,,,,,,,
Quatipuru (PA),5288,0.543,4670,0.55,5353,0.397,5105,0.732,,,,,,,,,,,,
Crisópolis (BA),5288,0.543,4855,0.542,5401,0.387,4304,0.765,,,,,,,,,,,,
Manaíra (PB),5288,0.543,4963,0.537,5123,0.426,5494,0.698,,,,,,,,,,,,
Itagi (BA),5288,0.543,4828,0.543,5123,0.426,5506,0.694,,,,,,,,,,,,
Currais (PI),5293,0.542,5475,0.49,4973,0.438,4916,0.743,,,,,,,,,,,,
Mirangaba (BA),5293,0.542,5337,0.512,4774,0.454,5535,0.685,,,,,,,,,,,,
Morro Cabeça no Tempo (PI),5293,0.542,5528,0.472,5011,0.435,3987,0.774,,,,,,,,,,,,
Alto Alegre (RR),5293,0.542,5259,0.518,5436,0.379,2504,0.813,,,,,,,,,,,,
Bonfim do Piauí (PI),5293,0.542,4855,0.542,5229,0.415,5423,0.707,,,,,,,,,,,,
Vargem Grande (MA),5293,0.542,5485,0.487,5131,0.425,4204,0.768,,,,,,,,,,,,
Setubinha (MG),5293,0.542,4987,0.536,5325,0.4,4916,0.743,,,,,,,,,,,,
Parnarama (MA),5293,0.542,5393,0.504,5222,0.416,4509,0.758,,,,,,,,,,,,
Mãe D'Água (PB),5293,0.542,5235,0.52,5096,0.429,5377,0.712,,,,,,,,,,,,
